University Name,University ID,Database Name,Vendor Name,Subject Area,Product Description,Source URL
University of Cambridge,U0005,Archives Portal Europe,,,"Provides a single access to find, browse and discover information on archives about Europe held by thousands of cultural heritage institutions from more than 30 countries",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives Unbound,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivio di Etnografia e Storia Sociale della Lombardia,,,E' una istituzione pubblica che si occupa del patrimonio di cultura tradizionale delle comunità lombarde.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivio di Stato di Firenze,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivio di Stato di Roma,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivio Storico diocesano di Modena,,,,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivo Digital de la Legislación en el Perú,,,"Digital copies, in PDF, of the Peruvian constitutions dating back to the 19th century, as well as the Leyes de Indias, and past and current legislative materials.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivo Digital Nacional de Puerto Rico,,,"Privately run, this portal collaborates with multiple libraries, archives, cultural institutions, individuals, and other stakeholders in the island and abroad to digitize and provide open access to Puerto Rican historical documents.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivo Edad de Plata,,,Searchable network of instiutiones researching Spanish literature of late 19th-early 20th Centuries,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivo electronico Ricardo Flores Magon,,,"Digitised writings of Mexican activist, journalist and revolutionary Ricardo Flores Magón",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archivo Fotográfico TAFOS/PUCP,,,"""The TAFOS/PUCP Photographic Archive originated in late 1998, moment in when the director and founder of TAFOS, Thomas Müller, decided to donate all the photographic and documentary files from the project to the Pontificia Universidad Católica del Perú - Faculty of Science and Arts of Communication.""",https://libguides.cam.ac.uk/az/databases
